obs,wave,ageDiff,int_corr,imprace,samerace,match,dec,dec_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,goal,exphappy,expnum,attr,sinc,intel,fun,amb,shar,like,prob,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,you_call,them_cal,numdat_3
2926,9,2,0.45,7,0,0,0,0,18.6,20.93,23.26,23.26,2.33,11.63,6,6,6,5,6,7,5,5,2,3,7,,8,8,8,,,,,,,,,,,,,,
2927,9,3,0.32,7,0,0,0,0,17.78,17.78,17.78,17.78,13.33,15.56,6,7,7,6,7,5,6,4,2,3,7,,5,,,,7,,,,,,,,,,,,
2928,9,1,0.4,7,0,0,0,0,14,20,18,16,14,18,7,8,8,8,8,,7,5,2,3,7,,5,,7,,,,,,,,,,,,,,
2929,9,6,0.41,10,1,1,1,1,17.02,21.28,17.02,21.28,14.89,8.51,9,8,8,8,8,7,10,8,2,2,5,,7,10,4,5,,6,7,7,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2930,9,3,-0.01,10,0,1,1,1,14.89,19.15,21.28,19.15,14.89,10.64,7,8,7,7,7,7,7,6,2,2,5,,7,8,8,9,9,10,6,6,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2931,9,2,0.37,10,1,0,0,1,7.5,17.5,20,22.5,12.5,20,8,9,9,9,9,8,8,6,2,2,5,,1,1,1,1,1,1,1,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2932,9,3,0.69,10,1,0,0,0,21.28,17.02,21.28,12.77,6.38,21.28,4,7,7,6,5,6,5,7,2,2,5,,9,,9,1,,,5,3,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2933,9,5,0.56,10,1,0,0,0,20.51,5.13,23.08,12.82,17.95,20.51,4,4,6,5,5,5,5,2,2,2,5,,6,10,,,,,2,1,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2934,9,3,0.57,10,1,0,1,0,16.28,16.28,18.6,16.28,16.28,16.28,4,7,6,4,5,5,6,5,,2,5,,9,8,5,,,,7,7,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2935,9,4,0.33,10,0,0,0,1,16.67,16.67,16.67,16.67,14.81,18.52,9,9,9,9,9,9,10,8,2,2,5,,5,10,10,,9,,8,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2936,9,2,-0.02,10,0,0,0,1,15.56,17.78,17.78,17.78,17.78,13.33,5,7,7,6,6,4,6,4,2,2,5,,5,8,8,2,3,,3,2,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2937,9,2,0.55,10,1,0,0,1,9.52,19.05,23.81,19.05,4.76,23.81,7,6,9,6,5,5,9,8,2,2,5,,3,,9,1,,,2,2,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2938,9,1,0.06,10,1,0,0,1,17.39,17.39,19.57,19.57,10.87,15.22,9,9,9,8,7,7,8,6,2,2,5,,4,10,8,1,,,7,7,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2939,9,3,0.12,10,1,0,0,1,17.24,17.24,17.24,17.24,13.79,17.24,3,3,8,3,5,5,4,1,2,2,5,,7,10,10,,,6,7,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2940,9,1,0.25,10,0,0,1,0,14.71,14.71,14.71,14.71,20.59,20.59,5,6,5,4,3,4,4,5,2,2,5,,7,10,10,,8,,7,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2941,9,6,0.26,10,1,0,1,0,25.64,17.95,15.38,20.51,10.26,10.26,6,9,9,7,7,7,7,6,2,2,5,,10,10,8,10,,,9,5,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2942,9,3,0.25,10,1,0,0,0,20,16,18,16,16,14,5,8,7,7,7,6,5,4,2,2,5,,6,6,5,9,5,5,5,5,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2943,9,5,0.31,10,0,0,0,1,13.51,18.92,21.62,13.51,13.51,18.92,6,6,6,7,6,5,6,5,2,2,5,,5,8,,1,,1,2,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2944,9,1,0.27,10,1,1,1,1,21.43,16.67,21.43,16.67,11.9,11.9,6,8,7,5,6,3,7,5,2,2,5,,10,9,9,7,9,,8,5,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2945,9,13,0.4,10,1,0,0,1,23.81,23.81,23.81,23.81,2.38,2.38,5,8,8,7,5,7,7,6,2,2,5,,8,10,,10,,,6.5,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2946,9,1,0.54,10,0,0,0,0,18.6,20.93,23.26,23.26,2.33,11.63,6,7,7,6,6,5,5,6,2,2,5,,5,2,3,1,,1,2,5,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2947,9,2,0.57,10,1,0,0,1,17.78,17.78,17.78,17.78,13.33,15.56,6,7,7,7,6,7,6,5,2,2,5,,3,9,9,1,,5,4,,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2948,9,0,-0.22,10,0,0,0,1,14,20,18,16,14,18,8,8,8,8,8,,9,6,2,2,5,,4,2,2,9,9,,2,9,20,15.56,17.78,17.78,11.11,17.78,0,1,0
2949,9,5,0,9,1,0,0,1,17.02,21.28,17.02,21.28,14.89,8.51,8,7,7,6,8,6,6,5,2,2,5,,6,8,10,7,9,2,7,6,14.81,14.81,18.52,18.52,16.67,16.67,,,
2950,9,2,0.23,9,0,0,0,1,14.89,19.15,21.28,19.15,14.89,10.64,7,7,8,4,6,6,5,3,2,2,5,,4,7,8,5,10,7,5,5,14.81,14.81,18.52,18.52,16.67,16.67,,,
2951,9,1,0.42,9,1,0,0,1,7.5,17.5,20,22.5,12.5,20,9,8,9,9,9,9,7,6,2,2,5,,4,9,10,7,10,6,6,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2952,9,2,0.12,9,1,0,0,1,21.28,17.02,21.28,12.77,6.38,21.28,6,6,6,3,5,4,5,5,2,2,5,,5,7,9,5,9,4,3,5,14.81,14.81,18.52,18.52,16.67,16.67,,,
2953,9,4,-0.07,9,1,0,0,0,20.51,5.13,23.08,12.82,17.95,20.51,5,5,4,5,4,4,4,3,2,2,5,,3,7,10,3,10,5,3,5,14.81,14.81,18.52,18.52,16.67,16.67,,,
2954,9,2,0.09,9,1,1,1,1,16.28,16.28,18.6,16.28,16.28,16.28,6,5,7,7,5,5,6,5,1,2,5,,6,10,9,10,7,7,8,8,14.81,14.81,18.52,18.52,16.67,16.67,,,
2955,9,3,-0.27,9,0,0,0,1,16.67,16.67,16.67,16.67,14.81,18.52,10,10,10,10,10,10,10,10,1,2,5,,6,10,10,6,10,10,6,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2956,9,1,0.05,9,0,0,0,1,15.56,17.78,17.78,17.78,17.78,13.33,6,5,6,6,7,3,6,3,2,2,5,,6,10,10,6,10,10,6,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2957,9,1,0.06,9,1,0,0,1,9.52,19.05,23.81,19.05,4.76,23.81,8,5,7,5,6,5,7,7,2,2,5,,4,10,10,5,7,6,6,6,14.81,14.81,18.52,18.52,16.67,16.67,,,
2958,9,0,-0.14,9,1,0,0,0,17.39,17.39,19.57,19.57,10.87,15.22,9,8,9,2,7,2,6,3,2,2,5,,5,10,9,6,9,7,6,6,14.81,14.81,18.52,18.52,16.67,16.67,,,
2959,9,4,-0.14,9,1,0,0,1,17.24,17.24,17.24,17.24,13.79,17.24,6,5,5,5,5,5,8,6,2,2,5,,5,9,9,5,9,7,5,8,14.81,14.81,18.52,18.52,16.67,16.67,,,
2960,9,0,-0.19,9,0,0,0,1,14.71,14.71,14.71,14.71,20.59,20.59,6,7,7,6,7,7,7,6,2,2,5,,7,9,8,8,8,7,7,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2961,9,5,-0.13,9,1,0,1,0,25.64,17.95,15.38,20.51,10.26,10.26,6,8,8,7,9,7,7,6,2,2,5,,10,8,8,9,9,6,9,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2962,9,2,0.56,9,1,0,1,0,20,16,18,16,16,14,6,6,6,5,5,5,5,4,2,2,5,,7,6,8,8,10,2,8,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2963,9,4,-0.21,9,0,0,0,1,13.51,18.92,21.62,13.51,13.51,18.92,6,6,6,5,6,5,6,5,2,2,5,,7,10,10,6,10,6,7,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2964,9,0,0.01,9,1,0,0,0,21.43,16.67,21.43,16.67,11.9,11.9,6,5,5,5,5,5,3,3,2,2,5,,7,8,9,7,10,4,7,6,14.81,14.81,18.52,18.52,16.67,16.67,,,
2965,9,14,0.25,9,1,1,1,1,23.81,23.81,23.81,23.81,2.38,2.38,9,7,7,7,5,7,8,4,2,2,5,,6,9,8,9,8,8,8,9,14.81,14.81,18.52,18.52,16.67,16.67,,,
2966,9,2,-0.2,9,0,0,0,0,18.6,20.93,23.26,23.26,2.33,11.63,7,5,6,5,7,7,6,5,1,2,5,,7,8,9,7,10,8,7,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2967,9,3,-0.28,9,1,0,0,1,17.78,17.78,17.78,17.78,13.33,15.56,9,8,8,7,8,7,6,3,1,2,5,,5,10,10,10,9,9,7,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2968,9,1,0.19,9,0,0,0,1,14,20,18,16,14,18,9,8,7,7,7,,6,5,2,2,5,,5,5,7,5,9,4,4,7,14.81,14.81,18.52,18.52,16.67,16.67,,,
2969,9,4,0.48,3,0,0,0,1,17.02,21.28,17.02,21.28,14.89,8.51,9,9,9,8,8,6,8,6,,1,5,,6,7,8,7,9,5,6,5,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2970,9,1,0.17,3,0,1,1,1,14.89,19.15,21.28,19.15,14.89,10.64,6,8,7,7,8,6,6,5,2,1,5,,7,6,8,7,8,7,7,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2971,9,0,0.11,3,0,0,0,1,7.5,17.5,20,22.5,12.5,20,9,8,9,9,9,9,7,6,2,1,5,,6,7,8,7,8,7,6,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2972,9,1,0.11,3,0,1,1,1,21.28,17.02,21.28,12.77,6.38,21.28,6,10,8,8,6,6,8,8,2,1,5,,7,10,10,7,10,5,8,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2973,9,3,0.31,3,0,0,0,0,20.51,5.13,23.08,12.82,17.95,20.51,6,5,6,6,6,5,5,4,2,1,5,,6,7,7,6,8,5,5,5,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2974,9,1,0.28,3,0,1,1,1,16.28,16.28,18.6,16.28,16.28,16.28,8,8,8,8,6,7,8,6,2,1,5,,8,8,9,8,9,6,7,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2975,9,2,0.03,3,0,0,0,0,16.67,16.67,16.67,16.67,14.81,18.52,6,8,9,9,8,9,9,9,2,1,5,,6,6,7,6,6,5,5,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2976,9,0,0.31,3,0,1,1,1,15.56,17.78,17.78,17.78,17.78,13.33,5,8,8,8,8,6,7,6,2,1,5,,7,7,8,7,8,7,7,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2977,9,0,0.3,3,0,0,0,1,9.52,19.05,23.81,19.05,4.76,23.81,8,6,6,8,5,6,9,8,2,1,5,,5,8,8,5,7,6,6,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2978,9,1,0.12,3,0,0,0,1,17.39,17.39,19.57,19.57,10.87,15.22,9,7,8,8,7,5,7,3,2,1,5,,6,7,8,7,8,6,6,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2979,9,5,0.32,3,0,1,1,1,17.24,17.24,17.24,17.24,13.79,17.24,8,8,6,6,5,5,7,6,2,1,5,,7,8,8,7,7,6,6,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2980,9,1,0.07,3,1,0,1,0,14.71,14.71,14.71,14.71,20.59,20.59,3,5,5,7,5,4,6,7,2,1,5,,7,7,8,7,8,5,6,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2981,9,4,0.2,3,0,1,1,1,25.64,17.95,15.38,20.51,10.26,10.26,8,7,8,8,7,7,8,7,2,1,5,,8,7,8,7,8,6,7,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2982,9,1,0.12,3,0,0,1,0,20,16,18,16,16,14,6,8,8,6,6,6,6,6,2,1,5,,8,7,8,7,8,6,7,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2983,9,3,0.14,3,0,1,1,1,13.51,18.92,21.62,13.51,13.51,18.92,7,6,7,7,6,6,6,4,2,1,5,,6,10,10,6,10,6,6,8,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2984,9,1,0.04,3,0,0,1,0,21.43,16.67,21.43,16.67,11.9,11.9,4,8,7,4,4,3,5,4,2,1,5,,7,7,9,8,9,7,8,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2985,9,15,0.31,3,0,0,0,1,23.81,23.81,23.81,23.81,2.38,2.38,7,6,6,6,6,7,6,3,2,1,5,,6,6,6,6,6,5,5,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2986,9,3,0.35,3,1,1,1,1,18.6,20.93,23.26,23.26,2.33,11.63,6,8,7,6,7,10,5,10,1,1,5,,7,7,7,8,7,7,8,10,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2987,9,4,0.38,3,0,0,0,1,17.78,17.78,17.78,17.78,13.33,15.56,10,9,9,10,8,7,8,5,2,1,5,,6,6,7,6,6,6,6,6,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2988,9,2,-0.3,3,0,1,1,1,14,20,18,16,14,18,8,8,8,8,8,,7,6,2,1,5,,6,7,7,7,7,7,7,7,14.89,19.15,19.15,14.89,17.02,14.89,0,4,3
2989,9,2,0.38,9,0,0,0,1,17.02,21.28,17.02,21.28,14.89,8.51,8,8,8,7,9,6,8,3,2,2,7,,8,9,10,7,7,6,8,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
2990,9,1,0.28,9,0,0,0,0,14.89,19.15,21.28,19.15,14.89,10.64,4,8,4,5,4,6,6,6,2,2,7,,6,9,9,7,9,6,7,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
2991,9,2,0.27,9,0,0,0,1,7.5,17.5,20,22.5,12.5,20,9,9,9,9,9,9,8,6,2,2,7,,6,8,9,7,7,7,6,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
2992,9,1,0.25,9,0,1,1,1,21.28,17.02,21.28,12.77,6.38,21.28,7,6,7,5,6,6,6,7,2,2,7,,8,8,9,8,10,8,8,7,16.36,18.18,18.18,16.36,16.36,14.55,,,
2993,9,1,0.13,9,0,0,0,1,20.51,5.13,23.08,12.82,17.95,20.51,6,6,6,5,6,5,5,4,2,2,7,,7,8,9,6,9,5,5,5,16.36,18.18,18.18,16.36,16.36,14.55,,,
2994,9,1,0.53,9,0,0,0,1,16.28,16.28,18.6,16.28,16.28,16.28,7,6,7,6,5,7,7,5,2,2,7,,8,8,8,8,10,8,7,7,16.36,18.18,18.18,16.36,16.36,14.55,,,
2995,9,0,-0.32,9,0,0,0,1,16.67,16.67,16.67,16.67,14.81,18.52,9,10,9,9,9,9,8,9,2,2,7,,6,7,7,7,7,7,6,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
2996,9,2,0.33,9,0,0,0,1,15.56,17.78,17.78,17.78,17.78,13.33,5,7,7,7,8,3,7,6,2,2,7,,8,9,10,6,9,7,7,7,16.36,18.18,18.18,16.36,16.36,14.55,,,
2997,9,2,0.44,9,0,0,0,0,9.52,19.05,23.81,19.05,4.76,23.81,6,5,5,4,6,5,5,5,2,2,7,,6,8,9,5,6,6,5,5,16.36,18.18,18.18,16.36,16.36,14.55,,,
2998,9,3,0.13,9,0,0,0,1,17.39,17.39,19.57,19.57,10.87,15.22,8,7,8,7,8,6,7,4,2,2,7,,7,8,8,8,7,7,7,5,16.36,18.18,18.18,16.36,16.36,14.55,,,
2999,9,7,0.3,9,0,0,0,0,17.24,17.24,17.24,17.24,13.79,17.24,9,7,7,7,6,7,7,6,2,2,7,,6,8,8,7,6,7,7,5,16.36,18.18,18.18,16.36,16.36,14.55,,,
3000,9,3,0.03,9,1,0,0,1,14.71,14.71,14.71,14.71,20.59,20.59,7,7,8,8,7,8,8,6,2,2,7,,8,8,8,7,8,7,7,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
3001,9,2,0.34,9,0,0,1,0,25.64,17.95,15.38,20.51,10.26,10.26,6,7,6,7,6,6,6,9,2,2,7,,9,8,10,8,9,7,8,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
3002,9,1,0.51,9,0,1,1,1,20,16,18,16,16,14,6,8,8,7,7,7,6,6,2,2,7,,8,8,10,9,10,8,8,7,16.36,18.18,18.18,16.36,16.36,14.55,,,
3003,9,1,0.09,9,0,0,0,1,13.51,18.92,21.62,13.51,13.51,18.92,7,5,6,7,5,5,7,5,2,2,7,,6,8,9,7,7,6,6,7,16.36,18.18,18.18,16.36,16.36,14.55,,,
3004,9,3,0.05,9,0,0,0,1,21.43,16.67,21.43,16.67,11.9,11.9,6,8,5,8,5,7,5,5,2,2,7,,8,9,10,8,10,7,7,7,16.36,18.18,18.18,16.36,16.36,14.55,,,
3005,9,17,0.21,9,0,0,0,1,23.81,23.81,23.81,23.81,2.38,2.38,9,8,8,8,6,8,9,5,2,2,7,,5,8,8,7,7,8,6,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
3006,9,5,0.4,9,1,0,0,0,18.6,20.93,23.26,23.26,2.33,11.63,7,7,7,6,7,5,6,6,2,2,7,,6,10,10,10,8,7,7,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
3007,9,6,0.14,9,0,0,0,1,17.78,17.78,17.78,17.78,13.33,15.56,8,9,9,9,8,8,8,6,2,2,7,,6,7,7,7,7,7,7,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
3008,9,4,0.19,9,0,0,0,1,14,20,18,16,14,18,8,8,8,8,8,,7,6,2,2,7,,8,8,8,8,7,7,6,6,16.36,18.18,18.18,16.36,16.36,14.55,,,
3009,9,1,-0.22,6,1,0,0,1,16,16,20,16,18,14,7,8,10,8,10,7,7,5,2,1,6,,7,8,6,7,8,3,5,4,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3010,9,4,0.27,6,1,0,0,0,15.38,19.23,19.23,19.23,13.46,13.46,8,7,10,8,9,9,10,1,1,1,6,,9,8,7,7,7,5,7,0,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3011,9,2,0,6,0,1,1,1,17.65,17.65,17.65,15.69,15.69,15.69,5,8,7,9,8,5,6,5,1,1,6,,7,8,8,7,9,5,6,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3012,9,1,-0.04,6,0,0,1,0,14,18,20,18,16,14,7,7,7,7,7,4,4,5,2,1,6,,8,8,9,6,8,5,8,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3013,9,0,0.07,6,0,0,0,0,15.38,19.23,17.31,19.23,9.62,19.23,4,5,5,5,5,5,4,4,2,1,6,,6,7,7,6,7,4,4,5,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3014,9,7,0.46,6,1,0,1,0,17.5,17.5,20,12.5,20,12.5,2,10,10,5,6,5,7,8,2,1,6,,8,6,7,6,7,6,7,5,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3015,9,2,0.59,6,1,0,1,0,13.21,18.87,18.87,16.98,16.98,15.09,7,10,10,7,9,,8,6,2,1,6,,9,5,6,7,6,5,8,3,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3016,9,2,0.21,6,1,0,1,0,15.38,17.31,17.31,17.31,17.31,15.38,7,7,8,,8,,7,5,2,1,6,,9,7,8,6,8,6,7,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3017,9,1,0.16,6,1,0,1,0,15.38,19.23,19.23,19.23,15.38,11.54,7,9,8,8,7,5,8,7,2,1,6,,9,8,9,9,9,6,9,8,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3018,9,1,0.03,6,1,0,1,0,16,20,18,20,18,8,3,6,7,5,7,,3,6,2,1,6,,9,8,9,8,7,6,9,8,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3019,9,3,0.5,6,1,0,1,0,19.61,15.69,17.65,15.69,17.65,13.73,5,6,7,8,7,6,7,6,2,1,6,,9,7,8,8,6,6,8,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3020,9,0,0.32,6,1,0,1,0,15.38,17.31,19.23,19.23,11.54,17.31,5,6,7,6,7,5,6,6,2,1,6,,10,9,8,8,6,6,8,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3021,9,8,0,6,0,0,0,0,14.58,16.67,20.83,18.75,16.67,12.5,5,7,7,6,9,1,4,4,2,1,6,,7,8,8,5,7,5,7,7,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3022,9,0,0.32,6,1,0,1,0,17.31,13.46,17.31,19.23,19.23,13.46,4,6,6,4,4,4,4,8,2,1,6,,10,8,8,8,8,6,9,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3023,9,2,0.36,6,0,0,1,0,11.54,13.46,19.23,19.23,19.23,17.31,5,8,8,8,8,7,6,5,2,1,6,,8,9,8,7,8,6,7,7,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3024,9,5,0.13,6,0,0,0,0,13.04,21.74,17.39,17.39,15.22,15.22,6,5,5,6,5,5,,,,1,6,,7,8,8,7,8,6,7,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3025,9,6,0.41,6,1,1,1,1,20,15.56,20,15.56,11.11,17.78,7,10,4,5,,6,7,7,2,1,6,,9,8,8,8,8,7,10,8,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3026,9,5,0,6,1,0,1,0,16.36,16.36,18.18,18.18,16.36,14.55,6,8,10,7,9,2,7,6,2,1,6,,8,7,7,6,8,6,6,5,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3027,9,4,0.48,6,0,0,1,0,14.29,18.37,18.37,16.33,18.37,14.29,6,7,8,7,9,5,6,5,2,1,6,,9,9,9,8,8,6,8,6,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3028,9,2,0.38,6,0,0,1,0,15.52,17.24,17.24,17.24,17.24,15.52,8,9,10,7,7,6,8,6,2,1,6,,8,8,8,7,9,6,8,3,17.02,21.28,19.15,19.15,14.89,8.51,1,0,
3029,9,2,0.74,3,0,0,0,1,16,16,20,16,18,14,9,9,9,9,9,7,8,6,2,1,7,,3,4,4,3,3,4,2,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3030,9,1,0.41,3,0,1,1,1,15.38,19.23,19.23,19.23,13.46,13.46,7,8,9,9,8,9,10,8,2,1,7,,5,9,8,9,7,9,8,8,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3031,9,1,-0.38,3,1,0,0,1,17.65,17.65,17.65,15.69,15.69,15.69,5,6,7,6,7,5,6,5,2,1,7,,5,8,5,3,3,3,3,3,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3032,9,2,0.32,3,0,0,1,0,14,18,20,18,16,14,8,8,8,8,8,1,4,6,2,1,7,,7,9,9,6,7,4,7,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3033,9,3,-0.36,3,1,0,0,0,15.38,19.23,17.31,19.23,9.62,19.23,4,5,5,6,6,5,6,4,2,1,7,,3,7,5,6,5,4,3,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3034,9,4,0.49,3,0,1,1,1,17.5,17.5,20,12.5,20,12.5,6,6,8,6,8,5,8,8,2,1,7,,5,6,6,5,6,6,5,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3035,9,1,-0.08,3,0,0,1,0,13.21,18.87,18.87,16.98,16.98,15.09,6,8,8,8,8,,8,6,1,1,7,,8,7,7,8,6,6,7,8,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3036,9,1,0.41,3,0,0,0,0,15.38,17.31,17.31,17.31,17.31,15.38,7,8,8,8,8,7,7,6,2,1,7,,6,8,9,5,8,5,6,5,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3037,9,4,0.43,3,0,0,0,0,15.38,19.23,19.23,19.23,15.38,11.54,7,8,7,8,9,7,8,5,2,1,7,,3,7,7,5,5,4,4,7,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3038,9,4,0.43,3,0,0,0,0,16,20,18,20,18,8,7,6,6,8,8,7,7,8,2,1,7,,6,8,7,4,5,5,4,4,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3039,9,0,0.48,3,0,0,1,0,19.61,15.69,17.65,15.69,17.65,13.73,7,7,9,8,8,6,8,2,1,1,7,,6,7,7,7,6,6,5,7,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3040,9,3,0.32,3,0,0,0,0,15.38,17.31,19.23,19.23,11.54,17.31,10,8,8,8,8,8,9,5,2,1,7,,6,8,8,3,6,2,2,2,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3041,9,5,0.01,3,0,0,0,1,14.58,16.67,20.83,18.75,16.67,12.5,7,7,7,7,7,7,7,7,2,1,7,,6,8,7,7,8,6,6,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3042,9,3,0.36,3,0,0,1,0,17.31,13.46,17.31,19.23,19.23,13.46,6,9,10,8,10,7,7,9,2,1,7,,8,7,4,9,4,5,8,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3043,9,1,-0.11,3,0,1,1,1,11.54,13.46,19.23,19.23,19.23,17.31,10,10,10,10,10,10,10,10,1,1,7,,7,7,5,7,7,5,7,1,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3044,9,2,-0.13,3,0,0,0,0,13.04,21.74,17.39,17.39,15.22,15.22,8,,8,,8,,,,,1,7,,4,5,6,5,8,5,5,4,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3045,9,3,-0.01,3,0,1,1,1,20,15.56,20,15.56,11.11,17.78,7,8,8,9,9,10,6,6,2,1,7,,7,8,7,7,7,7,7,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3046,9,2,0.23,3,0,0,1,0,16.36,16.36,18.18,18.18,16.36,14.55,4,7,8,5,10,7,5,5,2,1,7,,7,7,8,4,6,6,5,3,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3047,9,1,0.17,3,0,1,1,1,14.29,18.37,18.37,16.33,18.37,14.29,7,6,8,7,8,7,7,7,2,1,7,,6,8,7,7,8,6,6,5,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3048,9,1,0.28,3,0,0,0,0,15.52,17.24,17.24,17.24,17.24,15.52,6,9,9,7,9,6,7,6,2,1,7,,4,8,4,5,4,6,6,6,17.39,15.22,19.57,19.57,15.22,13.04,3,0,
3049,9,3,0.34,7,1,0,0,0,16,16,20,16,18,14,4,8,8,6,8,5,5,5,2,2,6,,5,5,7,5,5,5,5,5,14.81,18.52,18.52,18.52,16.67,12.96,,,
3050,9,0,-0.03,7,1,0,1,0,15.38,19.23,19.23,19.23,13.46,13.46,5,8,7,6,8,6,6,7,2,2,6,,7,7,9,8,8,4,7,4,14.81,18.52,18.52,18.52,16.67,12.96,,,
